Okres,Kraj,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
Olomouc,Olomoucký kraj,110,137,157,184,190,216,236,253,289,305,313,346,346,367,386,430,443,454,458,461,461,463,465,474,482,482,483,488,503,513,513,518,518,518,525,525,525,526,526,526,526,528,531,531,531,531,531,531,531,532,533,534,534,534,534,534,534,534,534,534,534,534,534,534,535,535,537,541,543,543,546,548,554,564,588,597,605,613,620,626,626,626,626,633,635,638,641,641,641,641,642,642,649,653,654,654,654,658,661,662,664,665,665,665,665,665,667,667,677,678,678,685,689,689,693,693,694,695,695,698,698,706,708,708,708,710,712,712,720,724,724,725,735,737,742,744,749,749,751,755
Prostějov,Olomoucký kraj,21,25,28,31,32,32,33,33,33,33,33,34,34,34,35,39,40,40,41,41,41,43,43,43,43,43,44,46,46,47,47,47,47,47,47,47,47,47,48,48,48,49,56,58,59,59,59,62,69,69,73,73,74,74,74,74,74,74,77,77,77,77,77,77,77,77,78,78,78,78,78,78,79,79,79,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,81,81,87,87,87,87,87,92,92,97,99,99,99,100,104,104,121,123,123,127,132,132,133,133,134,134,133,135
Přerov,Olomoucký kraj,5,5,6,9,9,10,10,9,9,9,10,10,10,12,16,18,20,26,26,26,28,28,32,34,35,35,35,39,41,42,44,45,46,46,46,46,46,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,56,57,57,57,70,73,75,78,80,80,82,83,83,83,83,83,83,83,84,84,84,84,84,85,86,85,85,85,85,85,85,86,86,87,87,87,87,87,88,88,94,95,95,97,98,103,104,105,105,105,105,105
Šumperk,Olomoucký kraj,4,4,5,5,8,9,9,12,16,16,24,27,30,34,35,41,45,46,47,47,47,47,47,47,47,47,47,47,47,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,52,52,52,52,52,55,59,59,63,65,65,65,65,66,66,68,68,68,70,71
Jeseník,Olomoucký kraj,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,5,8,8,8,8,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Pardubice,Pardubický kraj,12,14,17,21,23,28,43,49,53,70,74,81,81,85,96,99,107,109,110,111,111,115,121,122,124,124,125,125,125,130,130,132,132,132,133,133,134,134,134,134,134,136,138,138,139,139,139,139,139,139,139,139,139,139,139,140,141,143,143,143,143,143,143,144,144,144,144,144,144,144,144,144,145,145,145,145,145,146,146,146,146,146,146,146,146,146,146,146,146,149,150,150,156,156,156,156,156,156,156,156,156,156,156,156,157,157,157,158,158,158,160,162,164,164,164,164,164,164,165,165,165,168,168,168,168,168,169,173,174,174,174,179,183,193,198,201,201,201,204,207
Chrudim,Pardubický kraj,17,21,21,25,26,28,33,38,41,50,55,59,59,61,66,68,68,70,70,70,71,71,71,71,73,75,75,75,75,75,77,77,77,77,77,78,78,79,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,81,81,81,82,82,82,83,84,84,84,92,94,94,94,94,94,94,94,96,96,96,97,97,97,97,97,98,101,101,101,101,101,101,101,101,101,101,101,101,103,103,103,104,104,104,105,109,109,111,113,113,113,113,114,115,116,117,117,117,117,121
Svitavy,Pardubický kraj,8,8,8,8,8,8,10,11,12,12,14,14,14,14,14,14,14,16,16,21,21,26,27,28,28,28,28,28,28,28,28,29,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,38,38,38,38,38,41,42,44,46,46,46,54,58,64,65,66,66,66,68,69,69,69,69,69,69,69,69
Ústí nad Orlicí,Pardubický kraj,12,12,13,13,13,13,15,16,18,18,21,21,21,21,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,32,32,32,34,34,34,38,44,44,44,55,60,64,67,70,70,70,75,75,81,86,87,87,87,88,89
Tachov,Plzeňský kraj,3,9,9,10,10,11,11,13,14,14,14,14,14,20,20,22,22,23,31,33,33,34,35,36,37,37,37,39,41,41,41,42,42,42,43,42,44,44,44,44,44,45,49,49,49,52,53,49,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,55,55,55,55,55,55,56,56,56,57,57,57,57,57,57,57,57,57,57
Plzeň-sever,Plzeňský kraj,2,4,4,4,4,5,6,7,8,10,10,10,10,12,12,13,13,13,14,14,14,15,14,14,14,14,14,16,20,20,22,21,21,21,21,21,22,22,22,22,22,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,30,30,30,30,30,30,30,30,30,30,30,31,31,32,32,32,35,36,36,36,36,36,39
Plzeň-město,Plzeňský kraj,13,16,16,20,20,22,24,24,28,37,42,42,42,43,43,49,49,50,52,52,52,61,62,62,62,62,62,64,65,66,66,66,66,66,70,66,72,72,73,73,73,73,75,75,75,78,79,75,78,78,79,79,79,79,79,79,79,79,79,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,81,81,81,83,84,84,84,84,84,84,85,85,84,85,85,85,85,85,85,85,86,86,86,88,88,88,88,88,88,88,89,89,89,91,91,92,92,99,99,99,100,101,102,106,106,106,112,112,114,119,124,124,124,124,136,143
Rokycany,Plzeňský kraj,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,4,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13
Plzeň-jih,Plzeňský kraj,7,7,7,8,9,9,9,9,9,13,14,14,14,16,16,18,19,19,20,20,20,20,22,22,22,22,23,23,27,27,29,32,33,33,38,33,39,41,41,41,41,41,43,43,43,44,44,43,46,46,46,46,46,46,46,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,51,51,50,51,51,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,57,58,58,59,59,61,62,62,62,62,62,65,66
Domažlice,Plzeňský kraj,19,30,30,33,33,37,51,68,71,114,158,204,204,208,209,208,227,239,254,259,259,266,278,286,296,296,315,316,317,317,322,325,326,326,326,326,326,326,340,340,340,340,336,336,336,338,339,336,340,340,340,344,347,347,347,348,350,352,352,352,352,352,352,352,352,352,352,352,352,352,352,351,351,351,351,351,351,351,351,351,351,351,351,352,352,352,352,353,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,358,358,358,358,358,359
Klatovy,Plzeňský kraj,0,4,4,4,4,8,8,10,11,15,15,22,22,31,33,38,46,47,52,59,59,67,70,71,72,72,81,82,82,82,82,82,82,82,80,82,82,85,85,85,85,85,85,85,85,86,86,85,86,86,86,86,89,89,90,90,90,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,94,94,94,95,95,95,95,95,95,96,96,98,98,98,101,102,103,104,104,104,104,104,104,104,106,106,106,106,134,136
Praha,Praha,491,552,619,661,696,734,768,801,854,946,1045,1099,1132,1187,1224,1275,1323,1390,1414,1432,1450,1476,1510,1531,1552,1569,1597,1635,1646,1661,1668,1677,1685,1691,1697,1703,1711,1720,1727,1735,1739,1759,1769,1782,1797,1819,1825,1836,1845,1865,1871,1891,1905,1927,1937,1947,1966,1974,1983,1993,1996,1996,2001,2008,2018,2028,2037,2048,2060,2069,2089,2103,2113,2117,2122,2126,2140,2150,2161,2173,2182,2203,2222,2231,2248,2256,2271,2289,2298,2305,2314,2337,2350,2363,2371,2382,2385,2392,2402,2412,2423,2433,2442,2446,2456,2469,2476,2492,2499,2510,2513,2525,2540,2557,2575,2587,2610,2626,2649,2691,2743,2781,2816,2868,2900,3001,3045,3092,3155,3201,3247,3278,3329,3383,3438,3479,3535,3582,3617,3663
Rakovník,Středočeský kraj,4,4,4,4,5,6,8,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17,17,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,25,25,25,25,25,25,25,25,25,25,27,27
Kladno,Středočeský kraj,25,26,26,26,41,46,47,48,51,56,61,61,63,67,69,75,79,81,82,86,87,88,90,92,93,93,93,93,93,94,94,94,94,94,96,96,96,96,96,96,97,98,98,98,98,98,100,101,104,106,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,109,109,110,110,114,116,119,122,124,124,124,124,124,124,124,124,124,124,124,124,124,124,126,126,126,127,127,127,127,128,128,128,128,128,128,128,128,128,130,131,131,131,131,131,132,134,136,140,140,140,144,145,148,156,162,162,162,165,167,169,172,174,174,174,186,189
Mělník,Středočeský kraj,23,23,23,23,26,26,26,32,34,36,38,48,48,51,52,54,56,58,60,60,60,60,62,63,63,63,66,67,68,69,69,69,70,71,71,71,71,71,72,73,73,74,74,75,75,75,75,75,77,78,85,103,103,103,103,105,106,106,106,106,106,106,106,106,107,107,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,111,111,111,111,111,111,112,112,113,113,113,113,113,113,113,113,113,113,113,115,116,118,130,133,133,133,133,139,142,145,147,147,147,154,157,161,161,166,166,166,170,170,170,174,174,174,174,183,183
Mladá Boleslav,Středočeský kraj,7,10,10,10,11,12,16,16,23,24,24,27,29,31,36,36,36,37,37,37,37,37,38,39,39,40,40,40,40,40,40,40,40,41,41,41,45,45,45,45,45,46,46,50,50,50,50,51,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,59,59,59,61,62,65,70,75,75,75,80,85,87,88,94,94,94,101,105
Nymburk,Středočeský kraj,10,12,12,12,17,18,18,20,22,22,24,29,30,33,36,39,40,40,41,41,41,41,41,42,43,43,43,44,46,46,46,46,46,46,46,46,46,46,48,49,49,49,49,50,50,50,50,50,50,50,50,51,51,51,52,52,52,52,53,53,54,54,54,56,57,59,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,68,68,68,68,68,70,70,72,72,72,72,72,73,74,74,74,74,74,74,76,77,77,78,79,79,79,81,81,81,83,83,83,83,83,83,89,93,94,94,94,104,113,119,125,126,126,126,134,134,134,135,137,137,137,146,150
Kolín,Středočeský kraj,11,15,15,15,18,18,19,21,21,21,28,33,36,36,39,39,40,42,44,46,47,48,48,49,49,49,49,50,52,52,53,53,57,57,57,57,57,57,58,59,60,60,60,61,61,61,62,62,62,62,62,63,66,66,67,67,68,68,69,69,69,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,74,74,74,74,74,78,78,79,80,81,81,81,92,92,94,95,96,96,96,97,97,97,97,98,98,98,98,98,99,99,99,99,99,103,103,105,107,109,109,109,114,115,120,125,132,132,132,141,144
Kutná Hora,Středočeský kraj,5,6,6,6,6,6,6,6,6,6,7,9,10,11,12,16,16,18,18,19,19,19,21,22,24,25,27,28,29,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,39,39,57,63,64,71,81,81,81,84,88,88,90,90,90,90,90,91,91,92,93,93,93,93,93,93,93,93,93,93,93,94,94,102,104,104,104,107,108
Benešov,Středočeský kraj,24,25,25,25,31,32,33,36,41,41,46,47,52,54,58,66,68,74,75,77,79,79,79,81,83,83,83,84,84,84,87,87,87,88,88,88,88,88,88,88,88,88,88,90,90,90,90,90,90,90,91,91,91,91,91,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,95,95,95,93,93,93,93,93,93,93,93,94,93,94,94,94,94,95,95,96,97,97,97,97,97,95,96,96,96,96,96,97,97,98,98,98,98,98,98,99,99,100,102,102,102,108,108,109,111,113,113,113,118,121,121,122,121,121,121,129,132
Příbram,Středočeský kraj,16,18,18,18,20,26,26,30,31,31,31,32,33,37,38,38,39,39,39,41,41,41,43,45,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,47,47,47,47,47,48,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,55,55,55,55,55,55,55,57,58,58,61,61,61,62,62,69,69,78,78,78,83,88
Beroun,Středočeský kraj,14,14,14,14,19,19,22,25,26,27,29,29,31,36,37,41,41,41,42,44,44,47,49,57,57,57,57,59,59,61,64,64,64,65,71,78,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,83,85,85,85,87,87,87,89,89,90,90,91,91,91,91,91,91,92,92,92,92,93,93,93,93,93,93,93,93,93,93,94,94,95,95,95,103,104,106,109,109,109,118,119,122,125,128,128,128,131,133,135,135,137,137,137,141,142
Praha-západ,Středočeský kraj,35,39,39,39,42,42,60,65,70,74,77,77,82,83,83,85,97,97,99,99,110,114,119,124,125,126,126,131,134,136,139,139,141,141,143,146,149,149,150,150,152,152,152,155,155,156,156,156,156,157,160,163,168,168,169,170,170,170,172,172,172,173,173,174,176,176,176,176,177,177,177,180,180,183,183,186,186,189,192,192,192,193,198,199,200,201,203,203,203,205,207,210,211,211,211,211,212,214,214,214,217,217,217,221,223,223,225,226,226,226,229,232,234,239,241,241,241,241,250,258,267,272,272,272,285,286,301,308,317,317,317,324,331,332,339,339,339,339,347,351
Praha-východ,Středočeský kraj,32,39,39,39,57,57,60,71,75,82,84,90,93,98,103,113,116,116,124,125,126,133,138,142,142,145,150,152,155,159,163,163,163,164,164,164,165,165,166,168,169,169,169,174,174,174,175,175,175,177,177,179,180,181,181,185,187,187,189,189,189,192,191,191,192,192,192,192,193,194,194,194,194,196,196,194,194,196,202,208,212,214,216,217,220,221,222,222,222,222,222,227,229,229,229,229,235,238,239,241,245,245,245,250,250,250,250,256,256,256,262,262,263,266,268,268,268,268,283,288,292,299,299,299,311,325,330,335,347,347,347,351,359,365,367,371,371,371,394,401
Děčín,Ústecký kraj,20,20,21,21,21,25,27,29,35,35,36,36,37,38,38,38,40,40,41,41,41,41,41,41,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,46,46,46,47,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,52,56,56,56,56,56,56,56,56,59,59,59,59,59,59,59,59,59,59,59,59
Chomutov,Ústecký kraj,2,2,5,5,8,8,8,11,11,11,12,12,12,15,15,15,15,16,16,16,16,16,16,16,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,28,28,29,30,31,31,32,32,32,32,32,36,38,38,39,57,57,58
Most,Ústecký kraj,4,4,6,7,9,10,11,11,15,15,15,16,16,17,17,18,18,21,22,22,22,23,23,23,23,23,23,26,26,26,28,28,30,30,31,35,37,37,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,41,41,41,41,44,45,46,48,48,48,48,49,49,53,53,53,54,55,55,56,59,59,59,60,60
Litoměřice,Ústecký kraj,11,12,18,22,25,42,82,86,96,96,114,116,128,137,144,148,148,168,179,179,181,190,190,190,205,205,219,221,231,232,238,239,241,241,242,245,246,246,246,246,246,246,246,247,247,247,247,247,247,247,248,249,250,250,251,251,251,251,251,252,252,253,253,257,258,262,262,262,262,262,263,263,263,264,264,264,264,264,264,264,264,264,264,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,269,270,274,276,279,279,281,284,284,286,288,289,289,290,296,296,298,303,303,303,305,308
Louny,Ústecký kraj,0,1,2,3,3,6,7,9,10,10,10,10,10,11,11,13,13,13,13,13,14,14,14,14,14,14,14,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,30,30,30,30,31,31,32,32,32,34,34,34,36,38,38,38,39,44,44,44
Teplice,Ústecký kraj,2,3,3,3,3,5,15,15,15,15,16,16,16,16,16,31,31,31,37,38,38,38,38,38,41,41,41,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,47,48,50,52,53,53,53,55,55,55,55,56,56,56,56,56,56,56,56,56,56,58,59,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,63,63,63,63,63,64,66,66,67,67,68,70,70,72,72,73,73,73,73,73,73,75,75,75,75,75,76
Ústí nad Labem,Ústecký kraj,20,25,29,29,29,29,38,38,39,39,62,67,67,67,73,73,73,73,73,73,73,73,73,73,74,75,75,75,77,77,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,82,82,82,82,82,82,82,82,82,82,82,82,82,84,84,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,89,89,89,94,94,94,96,103,103,103,103,104,104,104,106,106,107,107,107,107,107,107
Kroměříž,Zlínský kraj,13,13,13,14,14,15,15,16,17,20,21,21,21,23,25,26,26,26,26,26,26,27,27,27,27,27,28,28,28,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,42,42,42,42,42,43,42,42,42,43,44,44,44,44,47,48,49,52,59,60,60,60,61,61,61,61,63
Uherské Hradiště,Zlínský kraj,44,45,54,56,71,75,78,92,94,103,104,105,106,106,117,121,123,125,129,129,129,130,130,132,132,132,132,132,132,134,134,135,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,140,141,141,141,141,142,142,142,142,142,142,142,142,142,142,142,142,143,143,143,143,143,143,143,143,142,142,142,142,143,143,143,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,145,145,146,147,147,148,153,156,165,167,171,171,183,183,189,191,192,194,199,200,202,202,203,206,208,208,211,213,218,219,220,224,225,226,226
Vsetín,Zlínský kraj,11,11,11,11,11,11,11,13,15,22,27,27,28,31,36,39,41,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,45,45,46,46,46,46,47,47,47,47,47,47,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,50,50,50,50,49,49,49,50,50,50,50,51,51,51,51,51,52,52,52,52,53,53,53,53,53,53,53,53,53,54,54,54,54,54,56,56,58,58,58,58,64,66,67,67,67,67,67,67,67,68,68,68,68,68,68,68,69,71,71,71,72,72,74,74,75,77,77,79
Zlín,Zlínský kraj,21,22,24,26,28,28,28,29,29,38,40,40,40,42,44,48,52,58,60,60,62,62,63,64,73,78,82,88,90,105,108,109,111,111,112,113,113,113,113,113,113,113,116,117,118,118,119,119,120,120,121,121,121,121,122,122,122,128,128,128,133,133,137,137,140,140,140,140,140,140,140,140,140,140,140,140,140,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,142,142,142,143,143,143,143,143,143,143,143,143,143,144,144,144,146,146,146,146,148,152,154,156,156,156,162,165,169,174,175,177,177,178,179,180,182,185,186,186,189