Okres,Kraj,2020
České Budějovice,Jihočeský kraj,195903
Český Krumlov,Jihočeský kraj,61556
Jindřichův Hradec,Jihočeský kraj,90692
Písek,Jihočeský kraj,71587
Prachatice,Jihočeský kraj,50978
Strakonice,Jihočeský kraj,70772
Tábor,Jihočeský kraj,102595
Brno-město,Jihomoravský kraj,381346
Brno-venkov,Jihomoravský kraj,224642
Blansko,Jihomoravský kraj,109136
Břeclav,Jihomoravský kraj,116291
Hodonín,Jihomoravský kraj,153943
Vyškov,Jihomoravský kraj,92280
Znojmo,Jihomoravský kraj,114351
Karlovy Vary,Karlovarský kraj,115014
Sokolov,Karlovarský kraj,88342
Cheb,Karlovarský kraj,91540
Jihlava,Kraj Vysočina,113628
Havlíčkův Brod,Kraj Vysočina,94915
Pelhřimov,Kraj Vysočina,72302
Třebíč,Kraj Vysočina,110810
Žďár nad Sázavou,Kraj Vysočina,118158
Hradec Králové,Královéhradecký kraj,164283
Jičín,Královéhradecký kraj,80045
Náchod,Královéhradecký kraj,109958
Rychnov nad Kněžnou,Královéhradecký kraj,79383
Trutnov,Královéhradecký kraj,117978
Česká Lípa,Liberecký kraj,103300
Jablonec nad Nisou,Liberecký kraj,90667
Liberec,Liberecký kraj,175626
Semily,Liberecký kraj,74097
Bruntál,Moravskoslezský kraj,91597
Opava,Moravskoslezský kraj,176236
Nový Jičín,Moravskoslezský kraj,151577
Ostrava,Moravskoslezský kraj,320145
Karviná,Moravskoslezský kraj,246324
Frýdek-Místek,Moravskoslezský kraj,214660
Olomouc,Olomoucký kraj,235472
Prostějov,Olomoucký kraj,108646
Přerov,Olomoucký kraj,129512
Šumperk,Olomoucký kraj,120417
Jeseník,Olomoucký kraj,37968
Pardubice,Pardubický kraj,175441
Chrudim,Pardubický kraj,104613
Svitavy,Pardubický kraj,104333
Ústí nad Orlicí,Pardubický kraj,138275
Tachov,Plzeňský kraj,54336
Plzeň-sever,Plzeňský kraj,79979
Plzeň-město,Plzeňský kraj,194280
Rokycany,Plzeňský kraj,49349
Plzeň-jih,Plzeňský kraj,63488
Domažlice,Plzeňský kraj,62062
Klatovy,Plzeňský kraj,86405
Praha,Praha,1324277
Rakovník,Středočeský kraj,55565
Kladno,Středočeský kraj,165271
Mělník,Středočeský kraj,108352
Mladá Boleslav,Středočeský kraj,129136
Nymburk,Středočeský kraj,99873
Kolín,Středočeský kraj,101604
Kutná Hora,Středočeský kraj,75370
Benešov,Středočeský kraj,98708
Příbram,Středočeský kraj,114778
Beroun,Středočeský kraj,93726
Praha-západ,Středočeský kraj,146004
Praha-východ,Středočeský kraj,180945
Děčín,Ústecký kraj,129542
Chomutov,Ústecký kraj,124946
Most,Ústecký kraj,111708
Litoměřice,Ústecký kraj,119668
Louny,Ústecký kraj,86691
Teplice,Ústecký kraj,129072
Ústí nad Labem,Ústecký kraj,119338
Kroměříž,Zlínský kraj,105343
Uherské Hradiště,Zlínský kraj,142226
Vsetín,Zlínský kraj,143334
Zlín,Zlínský kraj,191652